2024-03-01  08:30 AM | TRK-001 | 129566 | Order Placed      
2024-03-01  09:15 AM | TRK-001 | 129566 | Sorting               
2024-03-01  10:45 AM | TRK-001 | 129566 | Departed Warehouse    
2024-03-02  03:20 PM | TRK-001 | 129566 | In Transit            
2024-03-03  09:45 AM | TRK-001 | 129566 | Arrived at Hub        
2024-03-03  02:30 PM | TRK-001 | 129566 | Departed Hub          
2024-03-04  11:10 AM | TRK-001 | 129566 | Out for Delivery      
2024-03-04  03:45 PM | TRK-001 | 129566 | Delivered  
           
2024-03-02  10:00 AM | TRK-002 | 225286 | Order Placed      
2024-03-02  11:45 AM | TRK-002 | 225286 | Sorting               
2024-03-02  01:30 PM | TRK-002 | 225286 | Departed Warehouse    
2024-03-03  04:45 PM | TRK-002 | 225286 | In Transit            
2024-03-04  08:30 AM | TRK-002 | 225286 | Arrived at Hub        
2024-03-04  01:15 PM | TRK-002 | 225286 | Departed Hub          
2024-03-05  10:30 AM | TRK-002 | 225286 | Out for Delivery      
2024-03-05  02:55 PM | TRK-002 | 225286 | Delivered          

2024-03-06  09:00 AM | TRK-003 | 829546 | Order Placed      
2024-03-06  10:30 AM | TRK-003 | 829546 | Sorting              
2024-03-06  12:15 PM | TRK-003 | 829546 | Departed Warehouse    
2024-03-07  03:45 PM | TRK-003 | 829546 | In Transit            
2024-03-08  11:20 AM | TRK-003 | 829546 | Arrived at Hub       
2024-03-08  04:00 PM | TRK-003 | 829546 | Departed Hub          
2024-03-09  01:45 PM | TRK-003 | 829546 | Out  for Delivery      
2024-03-09  05:30 PM | TRK-003 | 829546 | Delivered             

2024-03-07  10:00 AM | TRK-004 | 723226 | Order Placed      
2024-03-07  11:45 AM | TRK-004 | 723226 | Sorting               
2024-03-07  01:30 PM | TRK-004 | 723226 | Departed Warehouse    
2024-03-08  04:45 PM | TRK-004 | 723226 | In Transit            
2024-03-09  08:30 AM | TRK-004 | 723226 | Arrived at Hub        
2024-03-09  01:15 PM | TRK-004 | 723226 | Departed Hub          
2024-03-10  10:30 AM | TRK-004 | 723226 | Out for Delivery      
2024-03-10  02:55 PM | TRK-004 | 723226 | Delivered             

2024-03-08  08:30 AM | TRK-005 | 523536  | Order Placed     
2024-03-08  09:45 AM | TRK-005 | 523536  | Sorting               
2024-03-08  11:30 AM | TRK-005 | 523536  | Departed Warehouse    
2024-03-09  02:15 PM | TRK-005 | 523536  | In Transit            
2024-03-10  10:40 AM | TRK-005 | 523536  | Arrived at Hub        
2024-03-10  03:00 PM | TRK-005 | 523536  | Departed Hub          
2024-03-11  12:15 PM | TRK-005 | 523536  | Out for Delivery      
2024-03-11  04:45 PM | TRK-005 | 523536  | Delivered 

2024-03-11  09:00 AM | TRK-006 | 123546 | Order Placed      
2024-03-11  10:30 AM | TRK-006 | 123546 | Sorting               
2024-03-11  12:15 PM | TRK-006 | 123546 | Departed Warehouse    
2024-03-12  02:40 PM | TRK-006 | 123546 | In Transit            
2024-03-13  10:15 AM | TRK-006 | 123546 | Arrived at Hub        
2024-03-13  03:00 PM | TRK-006 | 123546 | Departed Hub          
2024-03-14  11:45 AM | TRK-006 | 123546 | Out for Delivery      
2024-03-14  04:20 PM | TRK-006 | 123546 | Delivered             

2024-03-12  08:45 AM | TRK-007 | 333516 | Order Placed      
2024-03-12  10:15 AM | TRK-007 | 333516 | Sorting               
2024-03-12  12:00 PM | TRK-007 | 333516 | Departed Warehouse    
2024-03-13  04:20 PM | TRK-007 | 333516 | In Transit            
2024-03-14  09:30 AM | TRK-007 | 333516 | Arrived at Hub        
2024-03-14  02:15 PM | TRK-007 | 333516 | Departed Hub          
2024-03-15  12:30 PM | TRK-007 | 333516 | Out for Delivery      
2024-03-15  05:05 PM | TRK-007 | 333516 | Delivered             

2024-03-13  08:30 AM | TRK-008 | 173896 | Order Placed      
2024-03-13  10:00 AM | TRK-008 | 173896 | Sorting               
2024-03-13  11:45 AM | TRK-008 | 173896 | Departed Warehouse    
2024-03-14  03:10 PM | TRK-008 | 173896 | In Transit            
2024-03-15  10:45 AM | TRK-008 | 173896 | Arrived at Hub        
2024-03-15  03:30 PM | TRK-008 | 173896 | Departed Hub          
2024-03-16  01:15 PM | TRK-008 | 173896 | Out for Delivery      
2024-03-16  05:50 PM | TRK-008 | 173896 | Delivered             

2024-03-14  09:00 AM | TRK-009 | 113386 | Order Placed      
2024-03-14  10:30 AM | TRK-009 | 113386 | Sorting               
2024-03-14  12:15 PM | TRK-009 | 113386 | Departed Warehouse    
2024-03-15  02:40 PM | TRK-009 | 113386 | In Transit            
2024-03-16  10:15 AM | TRK-009 | 113386 | Arrived at Hub        
2024-03-16  03:00 PM | TRK-009 | 113386 | Departed Hub          
2024-03-17  11:45 AM | TRK-009 | 113386 | Out for Delivery      
2024-03-17  04:20 PM | TRK-009 | 113386 | Delivered             

2024-03-15  08:45 AM | TRK-010 | 223296 | Order Placed      
2024-03-15  10:15 AM | TRK-010 | 223296 | Sorting               
2024-03-15  12:00 PM | TRK-010 | 223296 | Departed Warehouse    
2024-03-16  04:20 PM | TRK-010 | 223296 | In Transit            
2024-03-17  09:30 AM | TRK-010 | 223296 | Arrived at Hub        
2024-03-17  02:15 PM | TRK-010 | 223296 | Departed Hub          
2024-03-18  12:30 PM | TRK-010 | 223296 | Out for Delivery      
2024-03-18  05:05 PM | TRK-010 | 223296 | Delivered
